Age,Dependents,Education,City/Town,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Loan_Amount_Requested,Loan_Term,Interest_Rate,Co-Applicant,Bank_Account_History,Transaction_Frequency,Default_Risk,Loan_Approval_Status,Gender_Male,Marital_Status_Married,Marital_Status_Single,Employment_Status_Self-Employed,Employment_Status_Unemployed,Occupation_Type_Freelancer,Occupation_Type_Professional,Occupation_Type_Salaried,Residential_Status_Own,Residential_Status_Rent,Loan_Purpose_Home,Loan_Purpose_Personal,Loan_Purpose_Vehicle,Loan_Type_Unsecured
25,2,1,2,139901,2533,743,0,10942,19822,0,24535,209,4.27,1,8,20,0.81,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
36,2,0,1,21162,4041,468,1,48731,18321,0,8288,33,14.78,1,9,9,0.17,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
43,0,2,2,27815,3453,389,2,6925,13851,0,10308,159,12.33,1,7,27,0.25,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0
28,0,0,1,137853,2732,778,0,42016,28608,1,33937,39,8.77,0,9,16,0.27,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0
32,0,1,1,81753,1648,752,2,31747,8780,1,23360,34,9.04,0,1,17,0.32,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1
49,2,2,2,149372,2976,793,0,2635,4453,0,30056,111,4.98,1,4,14,0.99,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1
41,0,0,0,123266,1118,707,0,15843,28872,0,34707,192,7.35,1,2,13,0.56,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
52,2,2,2,59889,4622,349,2,12436,29440,0,10583,81,13.49,0,4,21,0.45,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
27,1,1,2,121626,2511,803,0,9919,13940,0,20239,101,13.53,1,4,18,0.54,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0
61,3,2,2,38330,4523,599,2,4325,19381,0,15084,164,14.07,0,4,19,0.22,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0
32,3,2,1,54670,4969,772,1,28940,22104,0,20000,158,6.74,0,6,8,0.68,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1
38,2,2,1,45368,1746,311,2,4949,24498,0,15496,226,8.6,1,7,7,0.83,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
54,3,1,1,39362,2534,332,2,40843,9411,0,13170,203,5.31,1,9,5,0.63,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
39,2,2,2,114706,3895,789,0,27122,1043,0,31437,234,5.81,1,3,27,0.13,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1
32,0,0,2,83938,3444,756,1,43969,14421,0,22519,44,13.39,0,5,9,0.29,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1
37,2,0,2,126106,3076,826,0,46817,24028,0,36921,83,10.61,0,5,14,0.54,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1
46,0,2,2,141776,2887,745,1,16401,28232,1,25115,175,13.17,0,9,14,0.33,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1
30,0,0,2,73388,1024,821,0,39869,21641,0,20347,157,8.56,0,0,25,0.09,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
47,2,1,1,136354,3703,806,1,26560,6546,0,20651,70,12.51,1,3,6,0.69,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1
34,2,2,1,98808,2975,843,0,9826,19231,0,22547,51,8.72,1,1,29,0.28,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
25,1,1,0,76173,1323,752,2,3851,29337,0,21185,122,9.65,0,6,25,0.48,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1
33,0,1,2,112335,2636,815,2,19895,24735,0,20804,39,12.47,0,3,11,0.26,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
29,2,2,1,59576,1966,748,2,2901,16499,0,20000,111,8.27,0,3,8,0.72,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
48,1,0,2,75902,4412,808,2,38696,4475,0,21091,133,14.43,0,0,22,0.06,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1
36,0,0,1,76130,3789,808,0,19161,10197,0,22559,119,12.62,1,4,24,0.76,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
62,3,2,1,25512,3437,444,1,49345,1466,1,5605,44,8.03,1,8,14,0.47,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1
30,3,1,2,83447,3687,794,2,2841,19771,0,21241,161,5.4,1,7,23,0.51,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
40,0,2,2,73963,4692,741,1,34053,3495,0,20696,41,6.44,0,8,16,0.64,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1
36,1,0,2,127788,4444,784,0,41825,1942,0,35810,100,10.02,1,5,28,0.46,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1
46,1,2,2,104806,4972,839,2,47381,1269,1,23447,42,5.99,0,7,8,0.06,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
28,2,0,2,67933,1594,742,0,23309,13179,1,20249,45,13.17,0,8,9,0.24,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
27,0,0,1,111334,4928,842,2,28057,7520,0,32288,184,9.19,0,1,25,0.37,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
26,1,1,2,99270,3883,712,0,14504,13508,0,26828,192,6.6,0,6,9,0.93,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
59,0,1,2,42620,4689,391,1,27323,20923,0,14659,196,5.03,0,7,20,0.08,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
29,3,1,1,39883,2928,510,1,47837,19322,0,9056,44,14.16,1,1,21,0.24,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
53,0,1,1,66047,849,482,0,42842,16363,0,24795,124,3.97,1,9,26,0.71,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
39,0,0,2,140024,3496,825,1,30144,21141,1,34924,87,7.29,1,7,28,0.94,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1
38,1,0,2,56434,4714,760,1,44072,14797,0,20000,47,10.47,1,9,28,0.12,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
37,3,2,1,88355,3157,752,0,39101,26645,0,23097,229,14.68,1,8,28,0.67,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
41,0,0,0,138057,4469,726,1,49996,8323,0,31869,74,7.27,0,2,27,0.23,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0
46,1,1,2,51249,1891,815,2,20168,22824,0,20000,120,4.78,1,0,5,0.78,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1
47,2,2,2,67520,4023,843,1,34107,5958,0,20017,54,5.07,1,0,19,0.55,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
29,1,0,1,122670,3948,723,0,47607,19881,0,24781,143,10.66,0,3,9,0.95,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1
59,1,1,2,67367,1815,418,1,40511,27294,0,13580,156,8.52,0,6,8,0.16,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
34,1,1,1,134031,3080,812,0,20736,28911,1,36100,85,11.24,0,6,12,0.76,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1
41,3,1,0,116852,3954,741,1,38210,17280,0,23742,149,4.12,1,7,28,0.39,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1
43,1,1,2,122278,4560,828,0,20248,5386,0,20342,197,13.13,0,1,22,0.75,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0
46,3,1,1,52600,2669,794,1,32961,28914,0,20000,81,3.87,0,6,17,0.41,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
47,3,0,2,60103,1176,847,0,35354,788,0,20000,41,11.67,0,5,17,0.9,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1
49,1,1,2,64215,549,782,1,20182,19492,0,20000,81,4.5,1,2,18,0.89,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
61,1,2,1,24428,1093,548,0,9292,17323,0,6342,181,13.78,0,3,19,0.86,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0
45,0,1,2,33432,1751,357,0,17881,13599,0,6055,190,9.67,1,7,18,0.25,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
19,2,1,2,32418,1717,587,0,37560,22349,0,11224,73,7.35,0,4,19,0.2,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1
20,1,2,2,41190,2918,511,2,41654,18678,1,9663,74,13.35,1,8,17,0.6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
39,3,1,1,63611,1868,846,0,16021,285,0,20000,54,12.79,1,6,9,0.47,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1
30,0,1,2,43060,1835,306,1,17048,4879,0,9244,160,9.76,0,1,8,0.9,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
28,0,0,2,120324,3705,720,0,41166,10525,0,29625,32,5.63,1,9,28,0.12,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
45,1,1,2,126335,3783,756,0,16291,14334,1,20464,40,5.93,0,6,21,0.44,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
38,0,0,1,143063,2401,788,1,22407,10490,0,32776,224,8.41,0,9,17,0.22,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1
37,3,0,2,106339,3492,827,1,38747,3190,0,28112,193,4.73,1,7,19,0.22,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
31,1,0,2,127737,4816,777,0,29781,8134,1,32997,213,13.95,0,7,15,0.13,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
38,2,0,1,148537,1408,849,1,15771,18477,1,24363,40,14.11,0,1,14,0.82,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0
55,1,1,2,32920,2753,385,1,35987,7125,1,6749,26,14.18,0,2,23,0.47,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
29,3,2,1,64093,2296,807,2,32765,4132,0,20000,147,3.74,1,5,27,0.37,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
37,0,1,1,104510,3578,772,1,42942,21722,0,22924,89,9.26,1,8,25,0.62,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1
30,2,1,0,94133,2377,795,0,31882,29162,0,22170,200,12.69,1,5,9,0.88,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1
41,2,1,2,122542,1907,744,2,35412,9871,0,24127,198,10.94,1,2,16,0.56,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
57,2,0,1,57570,4022,473,2,19301,13054,0,13185,93,8.37,0,3,29,0.75,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
31,2,2,2,69760,1179,753,0,12975,20200,0,20122,123,5.99,1,0,6,0.96,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
63,2,0,0,69578,2278,578,1,19872,15772,0,26182,76,12.44,0,1,10,0.07,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
52,3,0,2,36908,2117,486,2,32759,3811,0,6651,142,3.67,1,8,27,0.22,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
42,1,0,2,57231,4387,776,2,48420,27872,0,20000,186,6.36,0,0,25,0.69,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0
49,1,2,2,73735,1623,795,2,36627,22058,0,20335,164,5.67,0,7,11,0.95,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
38,0,1,2,32625,2006,393,0,20021,11026,0,11885,53,4.49,1,9,20,0.18,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
42,0,1,2,55882,1855,343,1,33737,6135,1,19530,67,4.95,0,3,21,0.67,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
48,3,2,2,43008,2442,364,1,43328,177,1,12571,236,11.8,1,0,24,0.63,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
32,3,2,0,25233,2157,500,0,29026,5905,0,8567,58,7.34,1,5,21,0.08,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
39,0,2,2,96440,3063,773,1,24091,11162,0,25540,56,7.65,0,8,15,0.22,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
49,2,2,2,109631,2318,744,2,17351,1826,0,24384,132,10.88,1,2,6,0.23,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0
43,0,1,1,142307,4963,754,0,23783,3183,0,21258,211,11.72,1,6,24,0.44,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1
68,3,0,2,37539,2887,336,1,49896,19749,0,12023,193,14.14,0,0,12,0.07,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
37,0,0,2,129380,1557,783,2,40693,4720,0,32699,200,14.74,0,7,7,0.26,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
38,2,1,2,149375,4464,817,1,45074,1686,0,23706,98,8.45,0,9,5,0.02,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1
49,0,1,1,71260,902,728,1,19517,12570,1,20910,78,8.11,0,9,23,0.16,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1
43,1,0,1,135220,3057,823,1,43294,25786,0,38280,44,14.15,0,8,12,0.31,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0
47,1,0,2,70684,878,785,2,5830,27409,0,20953,35,9.14,1,7,5,0.12,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
36,3,2,2,67283,4000,568,0,3935,200,1,11245,21,8.49,1,4,21,0.37,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
41,2,1,0,88507,4612,841,0,4480,17424,0,25515,132,12.96,1,5,15,0.26,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1
61,0,0,2,44493,4989,593,0,27009,10449,1,13470,136,5.79,1,6,28,0.32,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1
40,2,1,2,88124,3425,727,0,19694,29696,0,20682,208,6.41,1,5,29,0.49,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1
43,2,0,2,131192,2215,823,2,25467,23923,1,23590,223,9.53,1,8,16,0.53,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1
62,3,2,2,50569,3826,518,1,39389,2280,0,6504,28,11.2,1,3,10,0.8,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
27,0,2,2,57948,4743,561,1,8069,17606,0,12598,76,10.89,0,9,5,0.83,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
32,3,1,1,103775,3036,765,0,32188,23664,0,26779,227,5.85,0,2,24,0.84,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
66,3,0,1,63742,4367,455,2,26135,11287,0,5005,94,11.49,0,4,23,0.6,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0
37,0,0,0,123775,2700,773,2,3150,18475,0,21760,121,8.97,1,5,29,0.97,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
26,2,1,1,56089,3386,823,0,26096,9860,0,20000,177,9.74,1,0,16,0.94,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0
49,0,0,1,102144,4368,770,2,6393,20072,1,22702,108,10.4,0,6,10,0.59,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36,1,2,1,118209,3259,796,1,30979,3438,1,21339,23,9.19,0,0,6,0.25,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
48,2,1,2,112560,2852,802,0,318,3543,0,22315,229,10.75,0,7,26,0.94,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
42,1,1,1,143783,3379,725,1,33778,12932,0,39683,237,9.19,1,4,18,0.15,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0
43,1,0,1,74599,4776,798,0,32177,8876,0,20034,132,6.4,1,4,9,0.91,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1
48,1,1,2,52665,4472,793,2,49387,20339,0,20000,82,4.35,0,9,20,0.76,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
40,2,1,1,139214,2602,713,0,44270,18648,0,35421,44,7.51,0,1,26,0.28,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
37,1,1,2,57629,3078,432,2,11317,15767,1,16929,175,13.26,1,4,19,0.28,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0
26,0,2,0,108143,4118,708,2,30703,17413,0,22765,107,8.44,0,0,6,0.85,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1
44,3,1,1,105508,4244,730,0,15382,21345,0,25968,12,12.63,1,6,10,0.14,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
55,2,0,2,34907,3184,463,0,2470,5040,0,12034,103,8.74,1,5,28,0.17,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0
38,2,1,2,96672,4210,709,0,42088,1878,0,21819,31,14.3,1,6,16,0.03,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0
48,2,2,2,106180,4531,809,0,5592,22604,1,27308,78,5.56,1,4,28,0.3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
27,3,2,2,126601,952,833,2,39783,17915,0,37201,79,13.06,0,6,24,0.71,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
45,0,0,2,87378,2256,773,2,39599,29728,0,24418,28,13.77,1,1,14,0.61,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,1,0,2,61410,3344,475,0,5019,16937,0,12388,134,6.97,0,7,23,0.53,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1
25,2,1,0,37979,2481,440,0,47153,7678,0,7467,227,10.89,1,3,17,0.05,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
32,0,1,2,136706,4303,721,1,2100,997,0,23620,204,5.21,1,4,6,0.4,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1
23,1,0,2,43332,3274,398,1,35830,27813,0,17202,137,3.57,1,8,8,0.31,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1
59,3,1,2,63314,1285,342,0,36400,25674,0,5904,217,7.36,0,8,10,0.67,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
35,0,0,2,137955,1298,734,2,30053,4107,0,38046,86,4.21,0,6,11,0.24,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
66,2,0,2,51222,990,440,1,25771,2849,0,19370,197,11.98,1,4,28,0.92,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
35,3,1,2,60565,3416,745,1,12168,9521,0,20000,169,6.09,0,9,19,0.39,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0
68,2,2,2,64584,2712,554,0,17296,28858,0,13538,152,13.37,0,7,14,0.58,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
30,0,1,1,36440,2633,461,2,672,27216,0,14435,119,12.54,1,9,18,0.35,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
48,0,1,2,101200,4098,786,2,10311,16307,1,20803,237,4.41,0,0,19,0.72,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
27,2,0,1,57752,1516,715,0,1830,22695,0,20000,66,11.69,0,1,15,0.38,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
30,0,1,1,100814,2452,720,1,46635,12786,0,27299,200,14.53,0,0,7,0.72,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0
26,3,2,2,106351,1504,762,0,46686,20418,1,22578,33,7.5,1,0,22,0.31,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1
50,3,2,2,35323,2279,572,2,21650,28767,0,7048,223,10.4,1,6,21,0.74,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1
33,0,0,2,61427,3911,569,1,47060,12497,0,14612,102,12.23,1,3,5,0.21,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
49,1,0,2,94491,2017,739,2,4693,5617,1,23742,239,5.35,0,9,26,0.9,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0
33,1,2,2,137815,3570,791,2,48380,10900,1,36366,144,5.22,1,2,25,0.65,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
45,2,2,1,98424,1983,700,0,6612,28709,0,22124,82,13.74,1,7,29,0.34,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
25,3,2,2,126974,1508,808,0,436,7037,1,22495,188,14.34,1,7,16,0.08,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0
42,2,0,2,115813,1134,835,0,15016,29279,0,31837,36,6.14,1,6,23,0.07,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1
41,0,1,2,122024,2461,780,1,26735,14350,0,26740,61,7.51,0,1,18,0.15,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
33,3,0,2,50850,620,555,1,12972,11561,0,9424,231,13.05,0,3,26,0.18,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1
30,2,1,2,90036,2226,772,1,520,25737,0,26096,186,7.87,1,2,20,0.43,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1
42,1,0,2,111979,3132,761,1,46628,7447,0,31920,163,7.69,0,6,16,0.52,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
31,3,1,2,63263,3560,502,1,7817,20390,0,13416,191,6.43,0,7,22,0.07,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
41,3,0,2,71974,2612,843,0,30660,2822,0,20116,205,4.68,1,9,13,0.14,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
43,2,0,2,63774,3393,595,2,40933,13116,0,20768,104,3.67,0,7,20,0.35,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1
23,3,0,2,34831,1857,556,0,103,28649,0,12852,102,5.35,1,5,10,1.0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1
35,2,0,1,68641,2898,800,2,24655,1123,0,20120,193,5.35,0,2,16,0.29,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1
26,1,2,1,58453,2391,760,0,15398,5486,0,20000,30,13.58,1,7,23,0.25,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
49,0,1,1,144508,2472,787,0,42460,1546,0,28073,110,11.37,1,3,20,0.85,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1
27,3,0,2,122800,635,820,2,15993,15219,0,22208,50,7.37,1,7,28,0.94,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
32,0,1,1,85163,4310,774,2,14033,16914,0,22311,191,6.14,0,4,22,0.78,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0
33,2,1,2,105542,2681,837,1,34765,14222,0,20138,142,11.72,0,0,28,0.37,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0
34,3,2,1,65320,1759,760,1,1533,11448,0,20000,146,11.93,0,9,15,0.12,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
45,2,1,2,138556,708,726,0,28473,10845,0,23002,175,8.1,1,8,12,0.9,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1
